conn_id,tipification_group,tipification_detail,repeat_contact_flag
c00727,Commercial,Plan Change Request,0
c00728,Claims,Claim Follow-up,0
c00729,Digital Channels,Payment App Issue,1
c00730,General Support,Other,0
c00731,Technical Support,Connectivity Issue,0
c00732,Commercial,Plan Change Request,0
c00733,Technical Support,Connectivity Issue,0
c00734,Retention,Cancellation Request,0
c00735,Technical Support,Connectivity Issue,0
c00736,Commercial,Plan Change Request,0
c00737,Billing,Incorrect Charge,0
c00738,Commercial,Plan Change Request,0
c00739,Claims,Claim Follow-up,0
c00740,Technical Support,Connectivity Issue,1
c00741,Digital Channels,Payment App Issue,0
c00742,Digital Channels,Payment App Issue,0
c00743,Technical Support,Connectivity Issue,0
c00744,Technical Support,Connectivity Issue,0
c00745,Billing,Incorrect Charge,0
c00746,Technical Support,Connectivity Issue,1
c00747,Digital Channels,Payment App Issue,0
c00748,Commercial,Portability Inquiry,0
c00749,Technical Support,Connectivity Issue,0
c00750,Retention,Cancellation Request,1
c00751,Commercial,Plan Change Request,0
c00752,Billing,Incorrect Charge,1
c00753,Technical Support,Connectivity Issue,1
c00754,Technical Support,Connectivity Issue,0
c00755,Claims,Claim Follow-up,0
c00756,Retention,Cancellation Request,0
c00757,Billing,Incorrect Charge,0
c00758,Technical Support,Connectivity Issue,1
c00759,Commercial,Portability Inquiry,0
c00760,Retention,Cancellation Request,1
c00761,Commercial,Plan Change Request,1
c00762,Commercial,Plan Change Request,0
c00763,Commercial,Plan Change Request,0
c00764,Technical Support,Connectivity Issue,1
c00765,Commercial,Portability Inquiry,0
c00766,Commercial,Plan Change Request,0
c00767,Digital Channels,Payment App Issue,1
c00768,Retention,Cancellation Request,1
c00769,Technical Support,Connectivity Issue,0
c00770,Digital Channels,Payment App Issue,0
c00771,Digital Channels,Payment App Issue,0
c00772,General Support,Other,0
c00773,Digital Channels,Payment App Issue,1
c00774,Commercial,Plan Change Request,0
c00775,Technical Support,Connectivity Issue,0
c00776,Commercial,Plan Change Request,0
c00777,Claims,Claim Follow-up,0
c00778,Billing,Incorrect Charge,0
c00779,Commercial,Plan Change Request,0
c00780,Commercial,Plan Change Request,0
c00781,Retention,Cancellation Request,0
c00782,Commercial,Portability Inquiry,0
c00783,Technical Support,Connectivity Issue,1
c00784,Commercial,Portability Inquiry,0
c00785,Digital Channels,Payment App Issue,0
c00786,Billing,Incorrect Charge,0
c00787,Commercial,Plan Change Request,1
c00788,Billing,Incorrect Charge,1
c00789,Commercial,Plan Change Request,0
c00790,Claims,Claim Follow-up,0
c00791,Commercial,Portability Inquiry,0
c00792,Technical Support,Connectivity Issue,0
c00793,Digital Channels,Payment App Issue,0
c00794,Commercial,Plan Change Request,0
c00795,Retention,Cancellation Request,0
c00796,Commercial,Portability Inquiry,0
c00797,General Support,Other,0
c00798,Commercial,Plan Change Request,0
c00799,Commercial,Plan Change Request,0
c00800,Technical Support,Connectivity Issue,0
c00801,Billing,Incorrect Charge,0
c00802,General Support,Other,0
c00803,Technical Support,Connectivity Issue,0
c00804,Technical Support,Connectivity Issue,0
c00805,Technical Support,Connectivity Issue,0
c00806,Billing,Incorrect Charge,0
c00807,Commercial,Portability Inquiry,0
c00808,Claims,Claim Follow-up,1
c00809,Commercial,Portability Inquiry,0
c00810,General Support,Other,0
c00811,Retention,Cancellation Request,0
c00812,Claims,Claim Follow-up,1
c00813,Retention,Cancellation Request,0
c00814,Claims,Claim Follow-up,1
c00815,Technical Support,Connectivity Issue,0
c00816,Commercial,Portability Inquiry,0
c00817,Billing,Incorrect Charge,1
c00818,Commercial,Portability Inquiry,0
c00819,Retention,Cancellation Request,0
c00820,Digital Channels,Payment App Issue,0
c00821,Digital Channels,Payment App Issue,0
c00822,Technical Support,Connectivity Issue,0
c00823,Commercial,Portability Inquiry,0
c00824,Retention,Cancellation Request,0
c00825,Claims,Claim Follow-up,1
c00826,Commercial,Plan Change Request,0
c00827,Commercial,Portability Inquiry,0
c00828,Billing,Incorrect Charge,0
c00829,Billing,Incorrect Charge,0
c00830,Technical Support,Connectivity Issue,0
c00831,Commercial,Plan Change Request,0
c00832,Billing,Incorrect Charge,0
c00833,Retention,Cancellation Request,0
c00834,Billing,Incorrect Charge,0
c00835,Billing,Incorrect Charge,1
c00836,Commercial,Portability Inquiry,0
c00837,Commercial,Portability Inquiry,0
c00838,Digital Channels,Payment App Issue,0
c00839,Billing,Incorrect Charge,1
c00840,Commercial,Portability Inquiry,0
c00841,Billing,Incorrect Charge,0
c00842,Billing,Incorrect Charge,0
c00843,Digital Channels,Payment App Issue,0
c00844,Claims,Claim Follow-up,1
c00845,Billing,Incorrect Charge,1
c00846,Commercial,Plan Change Request,0
c00847,General Support,Other,0
c00848,Technical Support,Connectivity Issue,0
c00849,Technical Support,Connectivity Issue,1
c00850,Commercial,Portability Inquiry,1
c00851,Billing,Incorrect Charge,0
c00852,Technical Support,Connectivity Issue,1
c00853,Claims,Claim Follow-up,0
c00854,Retention,Cancellation Request,0
c00855,Commercial,Portability Inquiry,0
c00856,Technical Support,Connectivity Issue,0
c00857,Claims,Claim Follow-up,0
c00858,Billing,Incorrect Charge,0
c00859,Claims,Claim Follow-up,1
c00860,Retention,Cancellation Request,0
c00861,Commercial,Portability Inquiry,0
c00862,General Support,Other,0
c00863,Retention,Cancellation Request,0
c00864,Technical Support,Connectivity Issue,0
c00865,Digital Channels,Payment App Issue,0
c00866,Technical Support,Connectivity Issue,1
c00867,Technical Support,Connectivity Issue,1
c00868,Commercial,Plan Change Request,0
c00869,Billing,Incorrect Charge,0
c00870,Claims,Claim Follow-up,0
c00871,Technical Support,Connectivity Issue,0
c00872,Commercial,Portability Inquiry,0
c00873,Retention,Cancellation Request,0
c00874,Commercial,Portability Inquiry,0
c00875,Commercial,Plan Change Request,0
c00876,Technical Support,Connectivity Issue,1
c00877,Billing,Incorrect Charge,1
c00878,Billing,Incorrect Charge,1
c00879,Billing,Incorrect Charge,1
c00880,Billing,Incorrect Charge,0
c00881,Commercial,Portability Inquiry,0
c00882,Digital Channels,Payment App Issue,0
c00883,Commercial,Plan Change Request,0
c00884,Technical Support,Connectivity Issue,0
c00885,General Support,Other,0
c00886,Billing,Incorrect Charge,0
c00887,Billing,Incorrect Charge,1
c00888,Technical Support,Connectivity Issue,1
c00889,Retention,Cancellation Request,1
c00890,Retention,Cancellation Request,1
c00891,Commercial,Plan Change Request,0
c00892,Billing,Incorrect Charge,0
c00893,Retention,Cancellation Request,0
c00894,Commercial,Plan Change Request,0
c00895,Technical Support,Connectivity Issue,0
c00896,Claims,Claim Follow-up,1
c00897,Technical Support,Connectivity Issue,0
c00898,Billing,Incorrect Charge,1
c00899,Commercial,Plan Change Request,0
c00900,Billing,Incorrect Charge,0
c00901,Technical Support,Connectivity Issue,0
c00902,Billing,Incorrect Charge,0
c00903,Technical Support,Connectivity Issue,0
c00904,Retention,Cancellation Request,0
c00905,Billing,Incorrect Charge,0
c00906,Retention,Cancellation Request,0
c00907,Digital Channels,Payment App Issue,0
c00908,Digital Channels,Payment App Issue,1
c00909,Billing,Incorrect Charge,0
c00910,Retention,Cancellation Request,0
c00911,Technical Support,Connectivity Issue,1
c00912,Commercial,Plan Change Request,0
c00913,Billing,Incorrect Charge,0
c00914,Digital Channels,Payment App Issue,0
c00915,Technical Support,Connectivity Issue,1
c00916,Commercial,Portability Inquiry,0
c00917,Technical Support,Connectivity Issue,0
c00918,Technical Support,Connectivity Issue,0
c00919,Claims,Claim Follow-up,0
c00920,General Support,Other,0
c00921,Billing,Incorrect Charge,0
c00922,Retention,Cancellation Request,0
c00923,Commercial,Plan Change Request,1
c00924,General Support,Other,1
c00925,Technical Support,Connectivity Issue,0
c00926,Claims,Claim Follow-up,0
c00927,Technical Support,Connectivity Issue,1
c00928,Digital Channels,Payment App Issue,0
c00929,General Support,Other,0
c00930,Commercial,Plan Change Request,0
c00931,Technical Support,Connectivity Issue,0
c00932,Technical Support,Connectivity Issue,1
c00933,Technical Support,Connectivity Issue,0
c00934,Billing,Incorrect Charge,1
c00935,Technical Support,Connectivity Issue,1
c00936,General Support,Other,0
c00937,Commercial,Plan Change Request,0
c00938,Retention,Cancellation Request,0
c00939,Billing,Incorrect Charge,0
c00940,General Support,Other,0
c00941,Commercial,Portability Inquiry,0
c00942,Digital Channels,Payment App Issue,1
c00943,General Support,Other,0
c00944,Claims,Claim Follow-up,0
c00945,Claims,Claim Follow-up,0
c00946,Digital Channels,Payment App Issue,1
c00947,Retention,Cancellation Request,0
c00948,Retention,Cancellation Request,0
c00949,Technical Support,Connectivity Issue,0
c00950,Commercial,Plan Change Request,0
c00951,Billing,Incorrect Charge,0
c00952,Claims,Claim Follow-up,1
c00953,Commercial,Portability Inquiry,0
c00954,Technical Support,Connectivity Issue,0
c00955,Digital Channels,Payment App Issue,1
c00956,Technical Support,Connectivity Issue,0
c00957,Digital Channels,Payment App Issue,0
c00958,Commercial,Portability Inquiry,0
c00959,Retention,Cancellation Request,1
c00960,Retention,Cancellation Request,1
c00961,Claims,Claim Follow-up,1
c00962,Technical Support,Connectivity Issue,1
c00963,Retention,Cancellation Request,0
c00964,General Support,Other,0
c00965,Billing,Incorrect Charge,0
c00966,Billing,Incorrect Charge,0
c00967,Billing,Incorrect Charge,1
c00968,Claims,Claim Follow-up,0
c00969,Digital Channels,Payment App Issue,0
c00970,General Support,Other,0
c00971,Technical Support,Connectivity Issue,0
c00972,Technical Support,Connectivity Issue,0
c00973,Commercial,Plan Change Request,0
c00974,Technical Support,Connectivity Issue,1
c00975,Technical Support,Connectivity Issue,0
c00976,Billing,Incorrect Charge,0
c00977,Retention,Cancellation Request,0
c00978,Commercial,Portability Inquiry,0
c00979,Commercial,Plan Change Request,0
c00980,Commercial,Plan Change Request,0
c00981,Commercial,Plan Change Request,0
c00982,Commercial,Plan Change Request,0
c00983,Technical Support,Connectivity Issue,0
c00984,Retention,Cancellation Request,0
c00985,Digital Channels,Payment App Issue,0
c00986,Retention,Cancellation Request,0
c00987,Technical Support,Connectivity Issue,1
c00988,Technical Support,Connectivity Issue,0
c00989,Billing,Incorrect Charge,0
c00990,Commercial,Plan Change Request,0
c00991,Digital Channels,Payment App Issue,1
c00992,Claims,Claim Follow-up,1
c00993,Claims,Claim Follow-up,0
c00994,Billing,Incorrect Charge,1
c00995,Commercial,Plan Change Request,0
c00996,Billing,Incorrect Charge,1
c00997,Commercial,Plan Change Request,0
c00998,Claims,Claim Follow-up,1
c00999,Commercial,Portability Inquiry,0
c01000,Commercial,Plan Change Request,0
c01001,Billing,Incorrect Charge,0
c01002,Billing,Incorrect Charge,0
c01003,Billing,Incorrect Charge,0
c01004,Billing,Incorrect Charge,1
c01005,Digital Channels,Payment App Issue,0
c01006,Billing,Incorrect Charge,0
c01007,Billing,Incorrect Charge,1
c01008,Retention,Cancellation Request,0
c01009,Commercial,Portability Inquiry,0
c01010,General Support,Other,0
c01011,Retention,Cancellation Request,0
c01012,Billing,Incorrect Charge,1
c01013,Commercial,Plan Change Request,0
c01014,General Support,Other,0
c01015,Claims,Claim Follow-up,0
c01016,Technical Support,Connectivity Issue,0
c01017,Technical Support,Connectivity Issue,0
c01018,Commercial,Plan Change Request,0
c01019,Commercial,Plan Change Request,0
c01020,Billing,Incorrect Charge,0
c01021,Technical Support,Connectivity Issue,0
c01022,Digital Channels,Payment App Issue,0
c01023,General Support,Other,0
c01024,Retention,Cancellation Request,0
c01025,Technical Support,Connectivity Issue,0
c01026,Retention,Cancellation Request,0
c01027,Retention,Cancellation Request,1
c01028,Technical Support,Connectivity Issue,0
c01029,Billing,Incorrect Charge,0
c01030,Billing,Incorrect Charge,0
c01031,Commercial,Plan Change Request,0
c01032,Commercial,Plan Change Request,0
c01033,General Support,Other,0
c01034,Retention,Cancellation Request,0
c01035,Retention,Cancellation Request,0
c01036,Technical Support,Connectivity Issue,1
c01037,Commercial,Portability Inquiry,0
c01038,Digital Channels,Payment App Issue,0
c01039,Commercial,Plan Change Request,0
c01040,Retention,Cancellation Request,0
c01041,Technical Support,Connectivity Issue,0
c01042,Billing,Incorrect Charge,1
c01043,Technical Support,Connectivity Issue,0
c01044,Billing,Incorrect Charge,0
c01045,Billing,Incorrect Charge,0
c01046,Digital Channels,Payment App Issue,0
c01047,Claims,Claim Follow-up,0
c01048,Technical Support,Connectivity Issue,0
c01049,Billing,Incorrect Charge,0
c01050,Technical Support,Connectivity Issue,0
c01051,Technical Support,Connectivity Issue,0
c01052,Claims,Claim Follow-up,0
c01053,Commercial,Plan Change Request,0
c01054,Claims,Claim Follow-up,0
c01055,Digital Channels,Payment App Issue,0
c01056,Technical Support,Connectivity Issue,1
c01057,Billing,Incorrect Charge,0
c01058,Billing,Incorrect Charge,0
c01059,Billing,Incorrect Charge,1
c01060,Commercial,Plan Change Request,0
c01061,Claims,Claim Follow-up,0
c01062,General Support,Other,0
c01063,General Support,Other,0
c01064,Commercial,Plan Change Request,0
c01065,General Support,Other,0
c01066,Commercial,Portability Inquiry,0
c01067,Claims,Claim Follow-up,0
c01068,Claims,Claim Follow-up,0
c01069,Billing,Incorrect Charge,0
c01070,Digital Channels,Payment App Issue,0
c01071,Claims,Claim Follow-up,0
c01072,Retention,Cancellation Request,0
c01073,Billing,Incorrect Charge,0
c01074,Retention,Cancellation Request,0
c01075,Technical Support,Connectivity Issue,0
c01076,Billing,Incorrect Charge,1
c01077,Digital Channels,Payment App Issue,0
c01078,Commercial,Plan Change Request,0
c01079,Retention,Cancellation Request,0
c01080,Retention,Cancellation Request,0
c01081,Claims,Claim Follow-up,0
c01082,Billing,Incorrect Charge,0
c01083,Technical Support,Connectivity Issue,1
c01084,Digital Channels,Payment App Issue,0
c01085,Technical Support,Connectivity Issue,1
c01086,Billing,Incorrect Charge,1
c01087,Commercial,Portability Inquiry,0
c01088,Digital Channels,Payment App Issue,1
c01089,General Support,Other,0
c01090,Claims,Claim Follow-up,0
c01091,Technical Support,Connectivity Issue,0
c01092,General Support,Other,0
c01093,Commercial,Portability Inquiry,0
c01094,Technical Support,Connectivity Issue,0
c01095,General Support,Other,0
c01096,Claims,Claim Follow-up,0
c01097,Technical Support,Connectivity Issue,0
c01098,Commercial,Plan Change Request,0
c01099,Commercial,Portability Inquiry,0
c01100,Commercial,Portability Inquiry,0
c01101,Technical Support,Connectivity Issue,1
c01102,Commercial,Plan Change Request,0
c01103,Technical Support,Connectivity Issue,0
c01104,Technical Support,Connectivity Issue,0
c01105,Commercial,Portability Inquiry,1
c01106,General Support,Other,0
c01107,Digital Channels,Payment App Issue,1
c01108,Commercial,Plan Change Request,0
c01109,Claims,Claim Follow-up,1
c01110,General Support,Other,0
c01111,Technical Support,Connectivity Issue,0
c01112,Commercial,Plan Change Request,0
c01113,Commercial,Portability Inquiry,0
c01114,Commercial,Plan Change Request,0
c01115,Technical Support,Connectivity Issue,0
c01116,Billing,Incorrect Charge,0
c01117,Commercial,Plan Change Request,1
c01118,Technical Support,Connectivity Issue,0
c01119,Retention,Cancellation Request,0
c01120,Claims,Claim Follow-up,0
c01121,Billing,Incorrect Charge,1
c01122,Retention,Cancellation Request,0
c01123,Digital Channels,Payment App Issue,0
c01124,Billing,Incorrect Charge,0
c01125,Technical Support,Connectivity Issue,0
c01126,Technical Support,Connectivity Issue,1
c01127,Digital Channels,Payment App Issue,1
c01128,Commercial,Portability Inquiry,0
c01129,Billing,Incorrect Charge,0
c01130,Commercial,Portability Inquiry,0
c01131,General Support,Other,0
c01132,General Support,Other,0
c01133,Technical Support,Connectivity Issue,0
c01134,Retention,Cancellation Request,0
c01135,Technical Support,Connectivity Issue,0
c01136,Billing,Incorrect Charge,1
c01137,Billing,Incorrect Charge,0
c01138,Claims,Claim Follow-up,1
c01139,Billing,Incorrect Charge,0
c01140,Billing,Incorrect Charge,0
c01141,Retention,Cancellation Request,1
c01142,Billing,Incorrect Charge,0
c01143,Commercial,Plan Change Request,0
c01144,Digital Channels,Payment App Issue,1
c01145,General Support,Other,0
c01146,Digital Channels,Payment App Issue,0
c01147,Digital Channels,Payment App Issue,1
c01148,Retention,Cancellation Request,0
c01149,Digital Channels,Payment App Issue,0
c01150,Claims,Claim Follow-up,0
c01151,Technical Support,Connectivity Issue,1
c01152,Billing,Incorrect Charge,0
c01153,Billing,Incorrect Charge,0
c01154,Commercial,Portability Inquiry,0
c01155,Technical Support,Connectivity Issue,0
c01156,Commercial,Plan Change Request,0
c01157,Technical Support,Connectivity Issue,1
c01158,Retention,Cancellation Request,0
c01159,Commercial,Portability Inquiry,0
c01160,Billing,Incorrect Charge,0
c01161,Technical Support,Connectivity Issue,1
c01162,Digital Channels,Payment App Issue,0
c01163,Billing,Incorrect Charge,0
c01164,Technical Support,Connectivity Issue,0
c01165,Billing,Incorrect Charge,0
c01166,Billing,Incorrect Charge,0
c01167,Commercial,Plan Change Request,0
c01168,Commercial,Portability Inquiry,0
c01169,Digital Channels,Payment App Issue,0
c01170,Retention,Cancellation Request,0
c01171,Claims,Claim Follow-up,0
c01172,Digital Channels,Payment App Issue,1
c01173,Digital Channels,Payment App Issue,0
c01174,Commercial,Portability Inquiry,0
c01175,Billing,Incorrect Charge,0
c01176,Billing,Incorrect Charge,0
c01177,Claims,Claim Follow-up,0
c01178,Billing,Incorrect Charge,1
c01179,Commercial,Plan Change Request,1
c01180,Claims,Claim Follow-up,1
c01181,Retention,Cancellation Request,0
c01182,Billing,Incorrect Charge,0
c01183,Digital Channels,Payment App Issue,0
c01184,Digital Channels,Payment App Issue,0
c01185,Technical Support,Connectivity Issue,0
c01186,Commercial,Portability Inquiry,0
c01187,Commercial,Portability Inquiry,0
c01188,General Support,Other,0
c01189,Commercial,Portability Inquiry,0
c01190,Commercial,Portability Inquiry,0
c01191,Digital Channels,Payment App Issue,0
c01192,Commercial,Plan Change Request,1
c01193,General Support,Other,0
c01194,Technical Support,Connectivity Issue,0
c01195,Commercial,Portability Inquiry,0
c01196,Commercial,Plan Change Request,0
c01197,Billing,Incorrect Charge,0
c01198,Billing,Incorrect Charge,0
c01199,Digital Channels,Payment App Issue,0
c01200,Technical Support,Connectivity Issue,1
c01201,Technical Support,Connectivity Issue,0
c01202,Retention,Cancellation Request,0
c01203,Technical Support,Connectivity Issue,0
c01204,Commercial,Plan Change Request,0
c01205,Digital Channels,Payment App Issue,0
c01206,Digital Channels,Payment App Issue,0
c01207,Digital Channels,Payment App Issue,1
c01208,Commercial,Portability Inquiry,0
c01209,Commercial,Portability Inquiry,0
c01210,Technical Support,Connectivity Issue,0
c01211,Retention,Cancellation Request,0
c01212,Billing,Incorrect Charge,0
c01213,Claims,Claim Follow-up,0
c01214,Digital Channels,Payment App Issue,0
c01215,Technical Support,Connectivity Issue,1
c01216,General Support,Other,0
c01217,Technical Support,Connectivity Issue,1
c01218,Billing,Incorrect Charge,0
c01219,Commercial,Portability Inquiry,0
c01220,Digital Channels,Payment App Issue,0
c01221,Retention,Cancellation Request,0
c01222,Technical Support,Connectivity Issue,1
c01223,Retention,Cancellation Request,0
c01224,Technical Support,Connectivity Issue,0
c01225,Technical Support,Connectivity Issue,0
c01226,Digital Channels,Payment App Issue,0
c01227,Billing,Incorrect Charge,0
c01228,General Support,Other,1
c01229,Billing,Incorrect Charge,0
c01230,Billing,Incorrect Charge,0
c01231,Technical Support,Connectivity Issue,1
c01232,Commercial,Portability Inquiry,0
c01233,Retention,Cancellation Request,0
c01234,Retention,Cancellation Request,0
c01235,Digital Channels,Payment App Issue,0
c01236,Technical Support,Connectivity Issue,1
c01237,Technical Support,Connectivity Issue,0
c01238,Commercial,Plan Change Request,0
c01239,Technical Support,Connectivity Issue,1
c01240,General Support,Other,0
c01241,Billing,Incorrect Charge,0
c01242,Commercial,Plan Change Request,0
c01243,Commercial,Plan Change Request,0
c01244,Commercial,Portability Inquiry,0
c01245,Commercial,Plan Change Request,0
c01246,General Support,Other,0
c01247,Digital Channels,Payment App Issue,0
c01248,Billing,Incorrect Charge,0
c01249,Digital Channels,Payment App Issue,0
c01250,Digital Channels,Payment App Issue,0
c01251,Technical Support,Connectivity Issue,0
c01252,Billing,Incorrect Charge,0
c01253,Billing,Incorrect Charge,0
c01254,Commercial,Plan Change Request,0
c01255,Commercial,Portability Inquiry,0
c01256,Digital Channels,Payment App Issue,0
c01257,Commercial,Plan Change Request,0
c01258,Technical Support,Connectivity Issue,1
c01259,Commercial,Plan Change Request,0
c01260,Commercial,Portability Inquiry,1
c01261,Technical Support,Connectivity Issue,0
c01262,Billing,Incorrect Charge,0
c01263,Billing,Incorrect Charge,0
c01264,Technical Support,Connectivity Issue,1
c01265,Commercial,Plan Change Request,1
c01266,General Support,Other,0
c01267,Technical Support,Connectivity Issue,1
c01268,Billing,Incorrect Charge,0
c01269,Digital Channels,Payment App Issue,0
c01270,Billing,Incorrect Charge,0
c01271,Retention,Cancellation Request,1
c01272,Technical Support,Connectivity Issue,1
c01273,Billing,Incorrect Charge,0
c01274,Commercial,Plan Change Request,0
c01275,Commercial,Plan Change Request,0
c01276,Technical Support,Connectivity Issue,0
c01277,Commercial,Portability Inquiry,0
c01278,Billing,Incorrect Charge,0
c01279,Retention,Cancellation Request,0
c01280,Technical Support,Connectivity Issue,0
c01281,Commercial,Plan Change Request,0
c01282,Billing,Incorrect Charge,1
c01283,Billing,Incorrect Charge,0
c01284,Retention,Cancellation Request,0
c01285,Billing,Incorrect Charge,1
c01286,Commercial,Portability Inquiry,0
c01287,Billing,Incorrect Charge,1
c01288,Commercial,Portability Inquiry,0
c01289,Digital Channels,Payment App Issue,0
c01290,Claims,Claim Follow-up,1
c01291,Commercial,Plan Change Request,0
c01292,Technical Support,Connectivity Issue,0
c01293,General Support,Other,0
c01294,Commercial,Plan Change Request,0
c01295,Billing,Incorrect Charge,0
c01296,Technical Support,Connectivity Issue,0
c01297,Technical Support,Connectivity Issue,1
c01298,Commercial,Plan Change Request,0
c01299,Technical Support,Connectivity Issue,0
c01300,Billing,Incorrect Charge,0
c01301,Technical Support,Connectivity Issue,0
c01302,Digital Channels,Payment App Issue,0
c01303,Digital Channels,Payment App Issue,1
c01304,Billing,Incorrect Charge,0
c01305,General Support,Other,1
c01306,Claims,Claim Follow-up,1
c01307,Billing,Incorrect Charge,0
c01308,Billing,Incorrect Charge,0
c01309,General Support,Other,0
c01310,Technical Support,Connectivity Issue,0
c01311,Billing,Incorrect Charge,0
c01312,Billing,Incorrect Charge,1
c01313,General Support,Other,0
c01314,Retention,Cancellation Request,0
c01315,Billing,Incorrect Charge,0
c01316,Billing,Incorrect Charge,0
c01317,Retention,Cancellation Request,0
c01318,Billing,Incorrect Charge,0
c01319,Digital Channels,Payment App Issue,0
c01320,Digital Channels,Payment App Issue,0
c01321,Technical Support,Connectivity Issue,0
c01322,Technical Support,Connectivity Issue,1
c01323,Technical Support,Connectivity Issue,0
c01324,Technical Support,Connectivity Issue,0
c01325,Technical Support,Connectivity Issue,0
c01326,Technical Support,Connectivity Issue,1
c01327,General Support,Other,0
c01328,Retention,Cancellation Request,1
c01329,Commercial,Portability Inquiry,0
c01330,Commercial,Portability Inquiry,0
c01331,Digital Channels,Payment App Issue,0
c01332,Digital Channels,Payment App Issue,0
c01333,Technical Support,Connectivity Issue,1
c01334,Commercial,Portability Inquiry,0
c01335,Digital Channels,Payment App Issue,0
c01336,Technical Support,Connectivity Issue,0
c01337,General Support,Other,0
c01338,Billing,Incorrect Charge,0
c01339,Commercial,Plan Change Request,0
c01340,Billing,Incorrect Charge,1
c01341,Technical Support,Connectivity Issue,0
c01342,Commercial,Plan Change Request,0
c01343,General Support,Other,0
c01344,Billing,Incorrect Charge,0
c01345,Digital Channels,Payment App Issue,1
c01346,Billing,Incorrect Charge,1
c01347,Technical Support,Connectivity Issue,0
c01348,Billing,Incorrect Charge,1
c01349,Commercial,Plan Change Request,0
c01350,Digital Channels,Payment App Issue,0
c01351,Billing,Incorrect Charge,1
c01352,Retention,Cancellation Request,0
c01353,Billing,Incorrect Charge,0
c01354,Claims,Claim Follow-up,0
c01355,Commercial,Portability Inquiry,0
c01356,Retention,Cancellation Request,0
c01357,Billing,Incorrect Charge,0
c01358,Claims,Claim Follow-up,0
c01359,Billing,Incorrect Charge,1
c01360,Commercial,Portability Inquiry,0
c01361,Commercial,Plan Change Request,0
c01362,General Support,Other,0
c01363,Billing,Incorrect Charge,0
c01364,Commercial,Plan Change Request,0
c01365,Digital Channels,Payment App Issue,0
c01366,Commercial,Plan Change Request,0
c01367,Commercial,Portability Inquiry,0
c01368,Claims,Claim Follow-up,1
c01369,Technical Support,Connectivity Issue,0
c01370,Commercial,Plan Change Request,0
c01371,Technical Support,Connectivity Issue,0
c01372,Billing,Incorrect Charge,0
c01373,Technical Support,Connectivity Issue,0
c01374,Billing,Incorrect Charge,1
c01375,Digital Channels,Payment App Issue,1
c01376,Technical Support,Connectivity Issue,0
c01377,Commercial,Portability Inquiry,0
c01378,Commercial,Portability Inquiry,0
c01379,General Support,Other,0
c01380,Claims,Claim Follow-up,1
c01381,Commercial,Plan Change Request,0
c01382,Billing,Incorrect Charge,0
c01383,Digital Channels,Payment App Issue,1
c01384,Technical Support,Connectivity Issue,0
c01385,Technical Support,Connectivity Issue,1
c01386,Retention,Cancellation Request,1
c01387,Technical Support,Connectivity Issue,1
c01388,Commercial,Portability Inquiry,0
c01389,Digital Channels,Payment App Issue,0
c01390,Claims,Claim Follow-up,0
c01391,Technical Support,Connectivity Issue,0
c01392,Retention,Cancellation Request,1
c01393,Technical Support,Connectivity Issue,0
c01394,Digital Channels,Payment App Issue,0
c01395,Technical Support,Connectivity Issue,0
c01396,Commercial,Plan Change Request,0
c01397,Commercial,Plan Change Request,0
c01398,Digital Channels,Payment App Issue,0
c01399,Technical Support,Connectivity Issue,0
c01400,Billing,Incorrect Charge,0
c01401,Commercial,Plan Change Request,0
c01402,Technical Support,Connectivity Issue,0
c01403,Claims,Claim Follow-up,1
c01404,General Support,Other,0
c01405,Commercial,Plan Change Request,0
c01406,Retention,Cancellation Request,0
c01407,Commercial,Plan Change Request,0
c01408,Billing,Incorrect Charge,0
c01409,Digital Channels,Payment App Issue,0
c01410,Commercial,Plan Change Request,0
c01411,Commercial,Plan Change Request,0
c01412,Technical Support,Connectivity Issue,1
c01413,Retention,Cancellation Request,0
c01414,Technical Support,Connectivity Issue,1
c01415,Billing,Incorrect Charge,1
c01416,Digital Channels,Payment App Issue,0
c01417,Commercial,Plan Change Request,0
c01418,Retention,Cancellation Request,0
c01419,General Support,Other,0
c01420,Billing,Incorrect Charge,0
c01421,Digital Channels,Payment App Issue,0
c01422,Commercial,Portability Inquiry,0
c01423,Billing,Incorrect Charge,0
c01424,Claims,Claim Follow-up,1
c01425,Claims,Claim Follow-up,0
c01426,Billing,Incorrect Charge,0
c01427,Commercial,Portability Inquiry,0
c01428,Billing,Incorrect Charge,0
c01429,Retention,Cancellation Request,0
c01430,Commercial,Plan Change Request,0
c01431,Billing,Incorrect Charge,0
c01432,Retention,Cancellation Request,0
c01433,Technical Support,Connectivity Issue,1
c01434,Billing,Incorrect Charge,0
c01435,Billing,Incorrect Charge,0
c01436,Commercial,Portability Inquiry,0
c01437,Billing,Incorrect Charge,0
c01438,Billing,Incorrect Charge,1
c01439,Technical Support,Connectivity Issue,0
c01440,Commercial,Plan Change Request,0
c01441,Technical Support,Connectivity Issue,0
c01442,Billing,Incorrect Charge,0
c01443,Digital Channels,Payment App Issue,0
c01444,Retention,Cancellation Request,0
c01445,Technical Support,Connectivity Issue,0
c01446,Retention,Cancellation Request,0
c01447,Retention,Cancellation Request,0
c01448,Technical Support,Connectivity Issue,1
c01449,Billing,Incorrect Charge,1
c01450,Commercial,Plan Change Request,0
c01451,Commercial,Plan Change Request,0
c01452,Billing,Incorrect Charge,0
